Company,Program,Demographic,Year in College,Role,Majors,Programming Languages/Software
Fullstack Academy,Grace Hopper Program,Women,Any,Software Engineering,"Statistics, Applied Mathematics, Computer Science, Operations Research, Computer/Electrical Engineering","C/C++, JavaScript, Java, PHP, Ruby, Python, Lua, Objective C"
Ada Developers Academy,Ada Developers Academy,Women,N/A,Software Engineering,Any,"C/C++, JavaScript, Java, PHP, Ruby, Python, Lua, Objective C"
Kenzie Academy,Kenzie Academy - Software Engineer,"Minorities (African Americans, Latinos)",Any,Software Engineering,"Statistics, Applied Mathematics, Computer Science, Operations Research, Computer/Electrical Engineering","HTML, CSS, JavaScript, SQL, React, Python, Django"
Kenzie Academy,Kenzie Academy - UX Engineer,"Minorities (African Americans, Latinos)",Any,UX Engineering,"Computer Science, Design","JavaScript, CSS, HTML"
Goldman Sachs,Undergrad Possibilities Summit - Engineering,"Minorities (African Americans, Latinos)","1st, 2nd",Software Engineering,"Statistics, Applied Mathematics, Computer Science, Operations Research, Computer/Electrical Engineering","C/C++, JavaScript, Java, PHP, Ruby, Python, Lua, Objective C"
Google ,Computer Science Summer Institute - HBCU,African Americans,1st,Software Engineering,Computer Science,"C/C++, JavaScript, Java, PHP, Ruby, Python, Lua, Objective C"
Google ,Inside Look,"Minorities (African Americans, Latinos)","1st, 2nd",Software Engineering,Computer Science,"C/C++, JavaScript, Java, PHP, Ruby, Python, Lua, Objective C"
Google ,Applied Machine Learning Intensive,"Minorities (African Americans, Latinos)",Any,Machine Learning Engineer,"Statistics, Applied Mathematics, Computer Science, Operations Research, Computer/Electrical Engineering","SQL, Python"
Google ,Apprenticeship Program,"Minorities (African Americans, Latinos)",Any,Software Engineering,"Statistics, Applied Mathematics, Computer Science, Operations Research, Computer/Electrical Engineering","C/C++, JavaScript, Java, PHP, Ruby, Python, Lua, Objective C"
Google ,Case Challenge,Indians,"1st, 2nd",Digital Marketing,"Economics, Business",N/A
Google ,Google in Residence,African Americans,1st,Software Engineering,Computer Science,"C/C++, JavaScript, Java, PHP, Ruby, Python, Lua, Objective C"
Google ,Applied CS (EngEDU),"Minorities (African Americans, Latinos)",Any,Software Engineering,"Statistics, Applied Mathematics, Computer Science, Operations Research, Computer/Electrical Engineering",Java
